Player,Nation,Position,Team,Age,Born,Matches Played,Starts,Minutes Played,Offensive Index,Passing Index,Possession Index,Defensive Index
Carlos Sánchez,mx MEX,DF,Pachuca,22,2002,22,11,1108,91,88,89,69
Carlos Terán,co COL,DF,Chicago Fire,24-298,2000,5,4,294,36,20,13,54
Carlos Villalba,ar ARG,MF,Sarmiento,27-000,1998,11,11,932,27,37,29,47
Carlos Vivas,ve VEN,DF,ve Dep Táchira,23-106,2002,4,4,359,45,72,63,62
Carlos Zambrano,pe PER,DF,pe Alianza Lima,36-009,1989,3,3,245,44,28,23,15
Carlton Morris,eng ENG,FW,Luton Town,28,1995,41,37,3123,53,59,48,53
Cas Odenthal,nl NED,DF,Sassuolo,23,2000,22,18,1684,52,54,39,37
Casper Nielsen,dk DEN,MF,Club Brugge,30,1994,14,5,504,48,74,77,47
Casper Staring,nl NED,MO,NAC Breda,23,2001,15,5,628,13,24,11,76
Casper Terho,fi FIN,MF,Union SG,21,2003,9,4,436,52,62,78,58
Casper de Norre,be BEL,MF,Millwall,27,1997,46,44,3606,56,55,35,66
Cassiano,br BRA,FW,Casa Pia,35,1989,26,24,1976,53,39,24,56
Catriel Cabellos,pe PER,MF,pe Sporting Cristal,20-335,2004,6,3,319,45,52,64,47
Cauley Woodrow,eng ENG,MO,Blackburn,29,1994,24,3,492,23,46,47,46
Cauly Oliveira Souza,br BRA,MO,Bahia,29-307,1995,17,11,917,38,67,50,26
Cauê,br BRA,FW,Gil Vicente FC,21,2002,27,10,1016,40,39,47,47
Cavan Sullivan,us USA,MF,Philadelphia Union,15-294,2009,8,1,165,52,44,56,74
Cayman Togashi,jp JPN,MO,Atlanta Utd,31-343,1993,3,0,69,35,18,13,21
