Player,Nationality,Team,League,Position,General Position,Age,Minutes,Matches,Line Index,Passes Index
Yann Sommer,SUI,Inter,"Italian Serie A, UEFA Champions League",GK,Goalkeeper,37,1890,1,38,56
Yehvann Diouf,SEN,Nice,"French Ligue 1, UEFA Europa League",GK,Goalkeeper,26,1890,1,29,60
Yvon Mvogo,SUI,Lorient,French Ligue 1,GK,Goalkeeper,31,1260,1,39,52
Zion Suzuki,JPN,Parma,Italian Serie A,GK,Goalkeeper,23,990,1,37,78
Zlatan Alomerović,GER,AÉK Lárnaka,UEFA Europa Conference League,GK,Goalkeeper,34,540,1,46,35
Álex Remiro,ESP,Real Sociedad,Spanish La Liga,GK,Goalkeeper,30,1620,1,33,73
Álvaro Vallés,ESP,Betis,"Spanish La Liga, UEFA Europa League",GK,Goalkeeper,28,1440,1,39,22
Ørjan Nyland,NOR,Sevilla,Spanish La Liga,GK,Goalkeeper,35,360,1,42,29
Đorđe Petrović,SRB,Bournemouth,English Premier League,GK,Goalkeeper,26,1800,1,34,43
Łukasz Skorupski,POL,Bologna,"Italian Serie A, UEFA Europa League",GK,Goalkeeper,34,1177,1,47,50
Žan Leban,SVN,NK Celje,UEFA Europa Conference League,GK,Goalkeeper,23,540,1,57,35
