Player,Team,League,Position,General Position,Nationality,Age,Rating,Minutes,Matches,Average Rating
Kacper Tobiasz,Legia Warsaw,UEFA Europa Conference League,GK,Goalkeeper,POL,23,20.75,450,5,4.15
Kacper Trelowski,Raków,UEFA Europa Conference League,GK,Goalkeeper,POL,22,8.57,180,2,4.28
Kamil Grabara,Wolfsburg,German Bundesliga,GK,Goalkeeper,POL,27,90.62,1440,16,5.66
Karl Darlow,Leeds United,English Premier League,GK,Goalkeeper,WAL,35,24.4,450,5,4.88
Karl Jakob Hein,Werder Bremen,German Bundesliga,GK,Goalkeeper,EST,23,15.94,180,2,7.97
Karl-Johan Johnsson,Strasbourg,French Ligue 1,GK,Goalkeeper,SWE,35,6.8,90,1,6.8
Karlo Letica,Lausanne-Sport,UEFA Europa Conference League,GK,Goalkeeper,CRO,28,38.0,540,6,6.33
Kasper Schmeichel,Celtic,UEFA Europa League,GK,Goalkeeper,DEN,39,31.3,540,6,5.22
Kauã Santos,Eint Frankfurt,"German Bundesliga, UEFA Champions League",GK,Goalkeeper,BRA,22,25.31,540,6,4.22
Kevin Trapp,Paris FC,French Ligue 1,GK,Goalkeeper,GER,35,32.11,540,6,5.35
Kiril Fesiun,Shakhtar,UEFA Europa Conference League,GK,Goalkeeper,UKR,23,20.38,360,4,5.1
Kjell Scherpen,Union SG,UEFA Champions League,GK,Goalkeeper,NED,25,28.31,540,6,4.72
Kostas Tzolakis,Olympiacos,UEFA Champions League,GK,Goalkeeper,GRE,23,22.89,450,5,4.58
Krapyvtsov Vladyslav,Girona,Spanish La Liga,GK,Goalkeeper,UKR,20,9.32,136,2,4.66
Lasse Rieß,Mainz 05,"German Bundesliga, UEFA Europa Conference League",GK,Goalkeeper,GER,24,24.19,359,5,4.84
Laurit Behluli,KF Drita,UEFA Europa Conference League,GK,Goalkeeper,KVX,25,2.4,90,1,2.4
Leo Román,Mallorca,Spanish La Liga,GK,Goalkeeper,ESP,25,79.99,1260,14,5.71
Lorenzo Montipò,Hellas Verona,Italian Serie A,GK,Goalkeeper,ITA,29,98.46,1710,19,5.18
Lucas Bergström,Mallorca,Spanish La Liga,GK,Goalkeeper,FIN,23,32.99,450,5,6.6
Lucas Chevalier,Paris S-G,"French Ligue 1, UEFA Champions League",GK,Goalkeeper,FRA,24,92.14,1800,20,4.61
Lucas Perri,Leeds United,English Premier League,GK,Goalkeeper,BRA,28,83.71,1440,16,5.23
Luiz Lúcio Reis Júnior,Villarreal,"Spanish La Liga, UEFA Champions League",GK,Goalkeeper,BRA,24,105.84,1800,20,5.29
Lukáš Horníček,Braga,UEFA Europa League,GK,Goalkeeper,CZE,23,39.02,540,6,6.5
